시군명,업체명,도로명주소,지번주소,우편번호,전화번호,관리구분명,WGS84위도,WGS84경도,,,,,,
경기 고양시 덕양구,서오릉가스충전소,경기도 고양시 덕양구 권율대로 450-1,경기도 고양시 덕양구 도내동 994번지 1동,10551,031-968-8661,자동차충전,37.63227771,126.8655194,,,,,,
경기 고양시 덕양구,썬엘피지충전소,경기도 고양시 덕양구 중앙로 279,경기도 고양시 덕양구 화전동 757-6번지,10537,031-3159-8118,자동차충전,37.60927772,126.8608884,,,,,,
경기 고양시 덕양구,원당LPG충전소,경기도 고양시 덕양구 호국로 989,경기도 고양시 덕양구 원당동 234-1번지 원당LPG충전소,10292,031-968-0343,자동차충전,37.67063545,126.8501006,,,,,,
경기 고양시 덕양구,원당오렌지충전소,경기도 고양시 덕양구 호국로 992,경기도 고양시 덕양구 원당동 233번지,10292,031-9670-559,자동차충전,37.67066705,126.8509281,,,,,,
경기 고양시 덕양구,통일로충전소,경기도 고양시 덕양구 통일로 1190,경기도 고양시 덕양구 내유동 482-10번지,10264,031-968-1213,자동차충전,37.72025446,126.8486915,,,,,,
경기 고양시 덕양구,화전엘피지충전소,경기도 고양시 덕양구 중앙로 246,경기도 고양시 덕양구 화전동 732번지,10537,031-3158-0083,자동차충전,37.60806258,126.8645356,,,,,,
경기 고양시 일산동구,(주)원일에너지,경기도 고양시 일산동구 문원길 37,경기도 고양시 일산동구 문봉동 195-4번지,10257,031-977-0270,용기+자동차+탱크+13kg용기,37.71015901,126.8198384,,,,,,
경기 고양시 일산동구,더불어가스충전소,경기도 고양시 일산동구 고봉로 672,경기도 고양시 일산동구 성석동 1082-24번지 성석동더불어가스충전소,10251,031-975-8513,자동차충전,37.71674778,126.7893024,,,,,,
경기 고양시 일산동구,문봉충전소,경기도 고양시 일산동구 성현로 368,경기도 고양시 일산동구 문봉동 154-1번지,10313,031-977-8811,자동차충전,37.70174809,126.8242599,,,,,,
경기 고양시 일산동구,신우에너지(주),경기도 고양시 일산동구 고봉로 470,경기도 고양시 일산동구 성석동 1305-5번지,10328,031-964-1984,자동차충전,37.70042371,126.7816651,,,,,,
경기 고양시 일산동구,신우에너지(주) 신도시충전소,경기도 고양시 일산동구 경의로 234,경기도 고양시 일산동구 백석동 1184번지,10442,031-904-9022,자동차충전,37.65143531,126.7978719,,,,,,
경기 고양시 일산동구,신우에너지(주)풍동충전소,경기도 고양시 일산동구 고양대로 1026,경기도 고양시 일산동구 식사동 861-1번지,10304,031-966-0384,자동차충전,37.67251497,126.8066202,,,,,,
경기 고양시 일산동구,일산오렌지충전소,경기도 고양시 일산동구 백마로 42,경기도 고양시 일산동구 장항동 541-3번지,10428,031-903-3586,자동차충전,37.64308935,126.7610327,,,,,,
경기 고양시 일산동구,일산제일충전소,경기도 고양시 일산동구 고봉로 479,경기도 고양시 일산동구 성석동 1305-4번지,10246,031-976-6096,자동차충전,37.70120159,126.7806367,,,,,,
경기 고양시 일산동구,제이원네트웍스(주),경기도 고양시 일산동구 무궁화로 362,경기도 고양시 일산동구 식사동 832-20번지,10327,031-967-2800,자동차충전,37.67734212,126.7998505,,,,,,
경기 고양시 일산서구,(주)케이엘페트로 고양덕이동지점,경기도 고양시 일산서구 덕이로 300,경기도 고양시 일산서구 덕이동 1184-6번지,10227,031-928-4776,자동차충전,37.70243175,126.7327194,,,,,,
경기 고양시 일산서구,(주)휴세코(희망충전소),경기도 고양시 일산서구 경의로 910,경기도 고양시 일산서구 덕이동 304-4번지,10232,031-925-5199,자동차충전,37.69846684,126.7596439,,,,,,
경기 고양시 일산서구,신우에너지(주)신일산가스충전소,경기도 고양시 일산서구 경의로 789,경기도 고양시 일산서구 대화동 59-6번지,10225,031-914-1355,자동차충전,37.68794886,126.7582741,,,,,,
경기 고양시 일산서구,이산포충전소,경기도 고양시 일산서구 법곳길 127,경기도 고양시 일산서구 법곳동 237-1번지,10203,031-923-8100,자동차충전,37.66231979,126.7239488,,,,,,
경기 고양시 일산서구,자유로엘피지충전소,경기도 고양시 일산서구 이산포길 262,경기도 고양시 일산서구 법곳동 1240-1번지,10203,031-923-5181,자동차충전,37.66791797,126.7011452,,,,,,
경기 과천시,(주)과천엘피지충전소,경기도 과천시 중앙로 526,경기도 과천시 과천동 30번지 과천엘피지충전소,13821,031-3418-7100,자동차충전,37.45570603,127.0098965,,,,,,
경기 과천시,(주)케이씨에너지,경기도 과천시 과천대로 20,경기도 과천시 갈현동 302-1번지,13824,031-5074-022,자동차충전,37.40436757,126.9790911,,,,,,
경기 광명시,가학충전소,경기도 광명시 광명로 159,경기도 광명시 가학동 563번지 가학충전소,14338,031-2615-6697,자동차충전,37.41543271,126.8492045,,,,,,
경기 광명시,극동실업(주),경기도 광명시 범안로 903,경기도 광명시 하안동 501-6번지 극동실업가스충전소,14260,031-898-1212,용기+자동차+13kg용기,37.45434732,126.8663133,,,,,,
경기 광명시,극동유화(주) 광명충전소,경기도 광명시 광명로 675,경기도 광명시 광명동 621-7번지,14300,031-2613-4904,자동차충전,37.46072935,126.8448998,,,,,,
경기 광명시,헵시바(주) 헵시바충전소,경기도 광명시 오리로 1044,경기도 광명시 광명동 162-2번지 외4필지,14203,031-2615-5151,자동차충전,37.48170982,126.8476009,,,,,,
경기 광주시,(주)대지석유갈마엘피지충전소,경기도 광주시 경충대로 2187,경기도 광주시 삼동 265-1번지,12767,031-761-5330,자동차충전,37.41104238,127.2015423,,,,,,
경기 광주시,(주)서경에너지,경기도 광주시 회안대로 881,경기도 광주시 송정동 324-1번지,12746,031-766-2300,용기+자동차+탱크+13kg용기,37.42586541,127.2543781,,,,,,
경기 광주시,(주)수도에너지신사엘피지충전소,경기도 광주시 곤지암읍 경충대로 432,경기도 광주시 곤지암읍 곤지암리 59번지,12812,031-797-0281,자동차충전,37.34264972,127.3576643,,,,,,
경기 광주시,(주)풀무원푸드앤컬처광주휴게소(서울방향)충전소,경기도 광주시 곤지암읍 만삼로 211,경기도 광주시 곤지암읍 유사리 산30-2번지,12726,031-8027-3948,자동차충전,37.38041446,127.4244783,,,,,,
경기 광주시,(주)풀무원푸드앤컬처광주휴게소(원주방향)충전소,경기도 광주시 곤지암읍 만삼로 270,경기도 광주시 곤지암읍 삼합리 산27-2번지,12727,031-8027-3943,자동차충전,37.37851042,127.4361821,,,,,,
경기 광주시,광주가스(주),경기도 광주시 회안대로 946,경기도 광주시 송정동 428-2번지,12739,031-765-3477,자동차충전,37.43079728,127.2594145,,,,,,
경기 광주시,대성산업(주)곤지암충전소,경기도 광주시 곤지암읍 평촌길11번길 72,경기도 광주시 곤지암읍 삼리 612-8번지,12800,031-763-6107,용기+자동차+13kg용기,37.35370375,127.3337215,,,,,,
경기 광주시,새광주충전소,경기도 광주시 경충대로 1523,경기도 광주시 쌍령동 113-1번지,12791,031-764-1052,자동차충전,37.40429638,127.2682334,,,,,,
경기 광주시,새한가스,경기도 광주시 경충대로 1736,경기도 광주시 역동 112-3번지,12764,031-762-5511,자동차충전,37.40162802,127.2461528,,,,,,
경기 광주시,"오포주유소,충전소",경기도 광주시 오포읍 포은대로 317,경기도 광주시 오포읍 추자리 306-1번지,12790,031-766-0005,자동차충전,37.35871443,127.2264908,,,,,,
경기 광주시,인성에너지,경기도 광주시 오포읍 오포로 172-2,경기도 광주시 오포읍 능평리 86-1번지,12773,031-761-5406,자동차충전,37.34670849,127.1833373,,,,,,
경기 광주시,주식회사 제일트랜스포트,경기도 광주시 회안대로 1003,경기도 광주시 송정동 461-1번지,12738,031-761-2713,자동차충전,37.43487707,127.2621708,,,,,,
경기 광주시,태원충전소,경기도 광주시 곤지암읍 경충대로 290,경기도 광주시 곤지암읍 수양리 446-1번지,12813,031-766-5180,자동차충전,37.33630808,127.3707197,,,,,,
경기 광주시,한원케미칼(주)퇴촌충전소,경기도 광주시 퇴촌면 정영로 414,경기도 광주시 퇴촌면 도수리 179-2번지,12711,031-766-6766,자동차충전,37.47093853,127.3347288,,,,,,
경기 구리시,(주)성림에너지 사노충전소,경기도 구리시 금강로 331-15,경기도 구리시 사노동 29번지,11906,031-575-3365,자동차충전,37.63984877,127.147878,,,,,,
경기 구리시,(주)아천에너지 아천LPG충전소,경기도 구리시 아차산로 196,경기도 구리시 아천동 97-3번지,11962,031-569-5151,자동차충전,37.57424334,127.1227633,,,,,,
경기 구리시,(주)케이피앤지 토평고려LPG충전소,경기도 구리시 벌말로 8,경기도 구리시 토평동 465-92번지,11960,031-567-2121,자동차충전,37.577534,127.1462917,,,,,,
경기 구리시,구리LPG충전소,경기도 구리시 경춘북로 348,경기도 구리시 갈매동 505번지,11901,031-5520-242,용기+자동차+탱크+13kg용기,37.63998548,127.1249701,,,,,,
경기 구리시,대성산업(주)경춘충전소,경기도 구리시 경춘로 217,경기도 구리시 인창동 280-3번지,11926,031-563-4973,자동차충전,37.60070483,127.1393962,,,,,,
경기 구리시,복지구리충전소,경기도 구리시 동구릉로 188,경기도 구리시 인창동 74번지,11909,031-557-9300,자동차충전,37.61579913,127.1383375,,,,,,
경기 군포시,(주)대야엘피지충전소,경기도 군포시 군포로 148,경기도 군포시 대야미동 266-12번지,15883,031-437-7755,자동차충전,37.32809317,126.9209456,,,,,,
경기 군포시,(주)대양충전소,경기도 군포시 엘에스로 156,경기도 군포시 금정동 1-49번지 대양충전소,15807,031-427-0033,자동차충전,37.37480404,126.945717,,,,,,
경기 군포시,군포충전소,경기도 군포시 번영로 204,경기도 군포시 부곡동 1180번지,15874,031-4625-500,자동차충전,37.33391845,126.9269854,,,,,,
경기 김포시,(주)이마트24서비스 김포본점(LPG충전소),경기도 김포시 양촌읍 김포대로 1575,경기도 김포시 양촌읍 누산리 295-3번지,10054,031-4910-7354,자동차충전,37.66209826,126.6625685,,,,,,
경기 김포시,(주)청양엘피지김포지점(알찬충전소),경기도 김포시 고촌읍 김포대로451번길 10,경기도 김포시 고촌읍 태리 1-15번지,10128,031-987-4848,자동차충전,37.60435029,126.7581646,,,,,,
경기 김포시,KH에너지(주) 직영 김포충전소,경기도 김포시 대곶면 대곶북로 141,경기도 김포시 대곶면 초원지리 609-2번지,10039,031-988-4971,용기+자동차+탱크+13kg용기,37.66066381,126.5859092,,,,,,
경기 김포시,강변가스충전소,경기도 김포시 월곶면 김포대로 3009,경기도 김포시 월곶면 포내리 26-2번지,10020,031-997-6616,자동차충전,37.72824942,126.5324029,,,,,,
경기 김포시,고촌LPG충전소,경기도 김포시 고촌읍 태장로 70,경기도 김포시 고촌읍 풍곡리 501-1번지,10121,031-996-6067,자동차충전,37.61433038,126.7415229,,,,,,
경기 김포시,극동에너비스(주)신도시충전소,경기도 김포시 김포한강3로 390,경기도 김포시 마산동 622-3번지,10066,031-982-1008,자동차충전,37.64193299,126.6486073,,,,,,
경기 김포시,금파충전소,경기도 김포시 금파로 20,경기도 김포시 걸포동 390-2번지,10096,031-9857-989,자동차충전,37.62979623,126.7124896,,,,,,
경기 김포시,다원에프엔씨(주)통진충전소,경기도 김포시 통진읍 김포대로 2055,경기도 김포시 통진읍 도사리 680-8번지,10035,031-998-5994,자동차충전,37.68378377,126.6156338,,,,,,
경기 김포시,대현이엔씨,경기도 김포시 금파로 12,경기도 김포시 걸포동 389-28번지,10096,031-996-6671,자동차충전,37.63067591,126.7119477,,,,,,
경기 김포시,서일산업(주)김포가스,경기도 김포시 김포대로 1454,경기도 김포시 운양동 1026번지 (1026-6번지외2필지),10072,031-982-4108,자동차충전,37.65413443,126.6707636,,,,,,
경기 김포시,올림픽충전소,경기도 김포시 고촌읍 개화동로 236,경기도 김포시 고촌읍 전호리 336-4번지,10136,031-4911-8978,자동차충전,37.58952972,126.8005381,,,,,,
경기 김포시,주식회사 국도에너지,경기도 김포시 고촌읍 김포대로 70,경기도 김포시 고촌읍 전호리 433-2번지 가동,10136,031-985-4455,자동차충전,37.5863874,126.7950402,,,,,,
경기 김포시,초지대교충전소,경기도 김포시 대곶면 대명항로 532,경기도 김포시 대곶면 대명리 390-8번지,10040,031-997-6948,자동차충전,37.64611603,126.5628616,,,,,,
경기 김포시,해뜨는충전소,경기도 김포시 양촌읍 봉수대로 1821,경기도 김포시 양촌읍 구래리 750-28번지,10069,031-996-2750,자동차충전,37.63062133,126.6285717,,,,,,
경기 남양주시,(주)남양주에너지,경기도 남양주시 경춘로 833,경기도 남양주시 일패동 10-3번지,12242,031-595-9370,자동차충전,37.63129976,127.1948836,,,,,,
경기 남양주시,(주)성림에너지 별내충전소,경기도 남양주시 덕릉로 1137,경기도 남양주시 별내동 2233-10번지,12091,031-575-7477,자동차충전,37.68156715,127.1092351,,,,,,
경기 남양주시,(주)아이피 호평충전소,경기도 남양주시 경춘로 1510,경기도 남양주시 호평동 23-63번지,12155,031-559-5720,자동차충전,37.65486619,127.2595663,,,,,,
경기 남양주시,(주)케이엘페트로 남양주별내충전소,경기도 남양주시 별내면 구리포천고속도로 14,경기도 남양주시 별내면 광전리 산114-15번지,12090,031-468-5189,자동차충전,37.69127147,127.1306668,,,,,,
경기 남양주시,(주)태진에너지 내각충전소,경기도 남양주시 진접읍 금강로유연들1길 52,경기도 남양주시 진접읍 내각리 68번지,12073,031-528-4006,자동차충전,37.70636065,127.1737472,,,,,,
경기 남양주시,(주)휴브,경기도 남양주시 고산로 150,경기도 남양주시 삼패동 607-6번지,12245,031-577-5251,자동차충전,37.59418717,127.1830392,,,,,,
경기 남양주시,SK대성충전소,경기도 남양주시 진건읍 금강로 586,경기도 남양주시 진건읍 진관리 520번지,12139,031-529-2903,자동차충전,37.65627042,127.1599085,,,,,,
경기 남양주시,광릉충전소,경기도 남양주시 진접읍 금강로 1937,경기도 남양주시 진접읍 팔야리 582-1번지,12018,031-528-3651,자동차충전,37.75369072,127.2160526,,,,,,
경기 남양주시,광전충전소,경기도 남양주시 별내면 송산로 638,경기도 남양주시 별내면 광전리 216번지,12090,031-5293-161,자동차충전,37.6967229,127.1272821,,,,,,
경기 남양주시,남양주고려LPG충전소,경기도 남양주시 오남읍 양지로 356,경기도 남양주시 오남읍 양지리 724-1번지,12036,031-528-2351,자동차충전,37.70603365,127.1895064,,,,,,
경기 남양주시,덕소마석간충전소,경기도 남양주시 와부읍 수레로 400,경기도 남양주시 와부읍 월문리 402-2번지,12203,031-577-7502,자동차충전,37.60318276,127.2507262,,,,,,
경기 남양주시,덕소충전소,경기도 남양주시 경강로 228,경기도 남양주시 이패동 413-10번지,12245,031-557-8363,자동차충전,37.60430945,127.1933285,,,,,,
경기 남양주시,송능충전소,경기도 남양주시 진건읍 진건오남로 405-12,경기도 남양주시 진건읍 송능리 157-5번지,12129,031-528-5741,자동차충전,37.67370876,127.2023077,,,,,,
경기 남양주시,연평충전소,경기도 남양주시 진접읍 양진로 886,경기도 남양주시 진접읍 연평리 219-28번지,12073,031-575-6800,자동차충전,37.698549,127.1780807,,,,,,
경기 남양주시,퇴계원IC충전소,경기도 남양주시 퇴계원읍 경춘북로 477,경기도 남양주시 퇴계원읍 퇴계원리 343-1번지,12121,031-528-6780,자동차충전,37.64556737,127.1373317,,,,,,
경기 남양주시,팔당LPG충전소,경기도 남양주시 와부읍 경강로 957,경기도 남양주시 와부읍 팔당리 564-1번지,12277,031-521-8851,자동차충전,37.55280748,127.2388254,,,,,,
경기 남양주시,화도에너지,경기도 남양주시 화도읍 경춘로 2205,경기도 남양주시 화도읍 월산리 358번지 화도에너지,12189,031-593-1164,자동차충전,37.65502802,127.3322697,,,,,,
경기 동두천시,동두천엘피지,경기도 동두천시 강변로 36,경기도 동두천시 송내동 473-4번지,11355,031-861-4114,자동차충전,37.87553947,127.055726,,,,,,
경기 동두천시,제일LPG충전소,경기도 동두천시 평화로 3130,경기도 동두천시 하봉암동 70번지,11306,031-868-5180,자동차충전,37.96535101,127.0671277,,,,,,
경기 동두천시,주식회사 신진엘피지충전소,경기도 동두천시 삼육사로 706,경기도 동두천시 상패동 400-3번지,11340,031-867-5201,자동차충전,37.90835223,127.0315603,,,,,,
경기 동두천시,중앙LPG충전소,경기도 동두천시 강변로 814,경기도 동두천시 동두천동 420-2번지,11302,031-864-8070,자동차충전,37.9384448,127.0519677,,,,,,
경기 동두천시,창림에너지(주),경기도 동두천시 평화로 2884-2,경기도 동두천시 상봉암동 154-1번지,11307,031-866-8111,용기+자동차+탱크+13kg용기,37.94412933,127.0608332,,,,,,
경기 동두천시,창림에너지(주) 동두천충전소,경기도 동두천시 평화로 2244,경기도 동두천시 지행동 406-1번지,11361,031-862-8111,자동차충전,37.88793714,127.0569935,,,,,,
경기 부천시,부천아이씨충전소 위드엘피지(주)지점,경기도 부천시 신흥로441번길 8,경기도 부천시 삼정동 97-3번지,14451,031-682-0880,자동차충전,37.52326601,126.7755926,,,,,,
경기 부천시,옥길충전소,경기도 부천시 옥길로 143,경기도 부천시 옥길동 790번지,14784,031-342-9660,자동차충전,37.46947757,126.8234048,,,,,,
경기 부천시 오정구,(주)한유에너지 공항가스,경기도 부천시 역곡로 558,경기도 부천시 고강동 218-6번지,14404,031-6795-189,자동차충전,37.53443469,126.8165932,,,,,,
경기 부천시 오정구,극동유화(주),경기도 부천시 대장로 17,경기도 부천시 고강동 100-1번지,14401,031-684-9915,용기+탱크+13kg용기,37.54007579,126.7994496,,,,,,
경기 부천시 오정구,동일석유(주)부천충전소,경기도 부천시 석천로 445,경기도 부천시 삼정동 67-7번지,14445,031-673-6719,용기+자동차+탱크+13kg용기,37.52619361,126.769453,,,,,,
경기 부천시 오정구,로안충전소,경기도 부천시 벌말로 157,경기도 부천시 대장동 667-3번지 로안충전소,14400,031-681-2222,자동차충전,37.5454525,126.7646465,,,,,,
경기 부천시 오정구,비케이프라임실업(주),경기도 부천시 봉오대로 472,경기도 부천시 고강동 37번지,14403,031-671-5188,자동차충전,37.53615278,126.8128876,,,,,,
경기 부천시 오정구,중동충전소,경기도 부천시 벌말로 62,경기도 부천시 대장동 685-12번지,14400,031-671-1252,자동차충전,37.53724809,126.7628481,,,,,,
경기 부천시 원미구,부천LPG충전소,경기도 부천시 길주로 429,경기도 부천시 춘의동 75-9번지,14488,031-678-9436,자동차충전,37.50479467,126.7899815,,,,,,
경기 부천시 원미구,서해가스충전소,경기도 부천시 송내대로 377,경기도 부천시 상동 499-17번지,14502,031-326-9955,자동차충전,37.51687259,126.7605818,,,,,,
경기 부천시 원미구,원미가스충전소,경기도 부천시 길주로 610,"경기도 부천시 춘의동 421번지 (춘의동 420,421,422번지)",14655,031-671-7667,자동차충전,37.50584857,126.8096355,,,,,,
경기 성남시 분당구,(주)소모홀딩스엔테크놀러지 분당충전소,경기도 성남시 분당구 탄천상로 116,경기도 성남시 분당구 구미동 194번지,13637,031-716-8120,자동차충전,37.34173582,127.1117254,,,,,,
경기 성남시 분당구,(주)제이제이네트웍스궁내동가스충전소,경기도 성남시 분당구 대왕판교로 272,경기도 성남시 분당구 궁내동 204-6번지,13550,031-716-1622,자동차충전,37.36797958,127.1022278,,,,,,
경기 성남시 분당구,(주)허스코분당지에스충전소,경기도 성남시 분당구 대왕판교로 359,경기도 성남시 분당구 궁내동 302-8번지,13550,031-719-4144,자동차충전,37.3756384,127.1013628,,,,,,
경기 성남시 분당구,길사랑장학사업단(주)서울하이패스충전소,경기도 성남시 분당구 대왕판교로 294,경기도 성남시 분당구 궁내동 257-2번지,13550,031-714-7255,자동차충전,37.36985476,127.1023195,,,,,,
경기 성남시 분당구,에스케이오케이충전소,경기도 성남시 분당구 대왕판교로 131,경기도 성남시 분당구 금곡동 344번지,13552,031-726-0792,자동차충전,37.35514945,127.1012002,,,,,,
경기 성남시 수정구,대기가스(주),경기도 성남시 수정구 산성대로 217,경기도 성남시 수정구 신흥동 6912번지,13345,031-757-0757,자동차충전,37.43859396,127.1418824,,,,,,
경기 성남시 수정구,수정가스충전소,경기도 성남시 수정구 성남대로 1543,경기도 성남시 수정구 복정동 261-12번지,13107,031-759-4551,자동차충전,37.46786576,127.1258317,,,,,,
경기 성남시 수정구,에스케이판교충전소,경기도 성남시 수정구 대왕판교로 860,경기도 성남시 수정구 시흥동 242-15번지,13448,031-722-6252,자동차충전,37.41720406,127.1023066,,,,,,
경기 성남시 수정구,위례에너지,경기도 성남시 수정구 헌릉로 970,경기도 성남시 수정구 복정동 55-6번지,13114,031-752-7700,자동차충전,37.46324011,127.1398086,,,,,,
경기 성남시 수정구,이원엘피지성남충전소,경기도 성남시 수정구 성남대로 1327,경기도 성남시 수정구 태평동 7149번지,13108,031-754-0683,자동차충전,37.44895235,127.1249762,,,,,,
경기 성남시 수정구,한일가스산업(주),경기도 성남시 수정구 성남대로 1203,경기도 성남시 수정구 수진동 4593번지,13313,031-752-2776,자동차충전,37.43721626,127.1277477,,,,,,
경기 성남시 중원구,(주)다산에너지,경기도 성남시 중원구 경충대로 2558,경기도 성남시 중원구 갈현동 351번지,13413,031-757-1321,자동차충전,37.42255849,127.1665175,,,,,,
경기 성남시 중원구,(주)성남에너지,경기도 성남시 중원구 경충대로 2653,경기도 성남시 중원구 갈현동 542-1번지,13417,031-755-7600,자동차충전,37.42186919,127.1556032,,,,,,
경기 성남시 중원구,대성산업(주)성남충전소,경기도 성남시 중원구 둔촌대로 347,경기도 성남시 중원구 하대원동 216-15번지,13391,031-751-6525,자동차충전,37.43155173,127.1562144,,,,,,
경기 수원시 권선구,(주)권선에너지,경기도 수원시 권선구 수인로 402,경기도 수원시 권선구 입북동 440-1번지,16370,031-298-2637,자동차충전,37.29070399,126.9630544,,,,,,
경기 수원시 권선구,(주)뉴라이저,경기도 수원시 권선구 권선로 254,경기도 수원시 권선구 고색동 888-8번지,16623,031-297-8788,자동차충전,37.25711356,126.9801971,,,,,,
경기 수원시 권선구,극동산업(주)광명충전소,경기도 수원시 권선구 매송고색로 487,경기도 수원시 권선구 오목천동 356-8번지,16631,031-2934-466,자동차충전,37.24395585,126.958662,,,,,,
경기 수원시 권선구,극동산업(주)병점엘피지충전소,경기도 수원시 권선구 정조로 215,경기도 수원시 권선구 대황교동 100-5번지,16661,031-239-6859,자동차충전,37.22961605,127.0218136,,,,,,
경기 수원시 권선구,남선엘피지충전소,경기도 수원시 권선구 권선로 332,경기도 수원시 권선구 고색동 14-34번지,16602,031-2785-184,자동차충전,37.25863978,126.9891406,,,,,,
경기 수원시 권선구,대성산업(주) 수원충전소,경기도 수원시 권선구 권선로 337,경기도 수원시 권선구 서둔동 79-30번지,16613,031-278-0217,자동차충전,37.25995505,126.9889626,,,,,,
경기 수원시 권선구,대황교엘피지충전소,경기도 수원시 권선구 정조로 235,경기도 수원시 권선구 대황교동 33-5번지,16661,031-226-5188,자동차충전,37.23126174,127.0208563,,,,,,
경기 수원시 권선구,비행장충전소,경기도 수원시 권선구 정조로 287,경기도 수원시 권선구 대황교동 259-6번지 비행장충전소,16661,031-222-2544,자동차충전,37.23567826,127.018551,,,,,,
경기 수원시 권선구,세광가스(주) 행복충전소,경기도 수원시 권선구 수인로 377,경기도 수원시 권선구 구운동 680-1번지,16404,031-296-5151,자동차충전,37.28800589,126.9643935,,,,,,
경기 수원시 권선구,세류역엘피지충전소,경기도 수원시 권선구 정조로 316,경기도 수원시 권선구 권선동 897-3번지,16666,031-237-7782,자동차충전,37.23827147,127.0178581,,,,,,
경기 수원시 권선구,수원경수엘피지충전소,경기도 수원시 권선구 정조로 296,경기도 수원시 권선구 대황교동 251번지,16661,031-235-5885,자동차충전,37.23638201,127.0188393,,,,,,
경기 수원시 권선구,수원태평양충전소,경기도 수원시 권선구 수인로 34,경기도 수원시 권선구 서둔동 9-17번지,16431,031-278-7878,자동차충전,37.27104949,126.9948655,,,,,,
경기 수원시 권선구,수일가스충전소,경기도 수원시 권선구 평동로 31,경기도 수원시 권선구 고색동 173-2번지,16602,031-291-8376,자동차충전,37.25501978,126.989977,,,,,,
경기 수원시 권선구,신일엘피지충전소,경기도 수원시 권선구 서부로 1766,경기도 수원시 권선구 탑동 452-1번지,16611,031-228-2114,자동차충전,37.26657041,126.9723275,,,,,,
경기 수원시 권선구,우성엘피지충전소,경기도 수원시 권선구 서호동로 65,경기도 수원시 권선구 서둔동 9-28번지,16620,031-295-0076,자동차충전,37.26985293,126.9954036,,,,,,
